"MAKE_NEW","NEW_MODEL","car_type","n"
"AMC","COMANCHE","OTHER",1
"AMC","COMPRESSORS","OTHER",1
"AMC","CONCORD","OTHER",1
"AMC","DELOREAN","OTHER",1
"AMC","EAGLE","OTHER",4
"AMC","HUMVEE","OTHER",1
"AMC","PICKUP","OTHER",1
"AMC","TRAILER","OTHER",1
"AMER","TRLR","OTHER",1
"AMER","UT","OTHER",2
"AMER","UTILITY","OTHER",1
"AMERA","BOAT","OTHER",1
"AMERI-LITE","CAMPER","OTHER",1
"AMERICACAMP","SRX","OTHER",1
"AMERICAN","1OFT","OTHER",1
"AMERICAN","20FT","OTHER",1
"AMERICAN","7225","OTHER",1
"AMERICAN","BOAT","OTHER",2
"AMERICAN","CHALLENGER","OTHER",1
"AMERICAN","FLAT","OTHER",1
"AMERICAN","FLATBED","OTHER",1
"AMERICAN","HAULER","OTHER",3
"AMERICAN","IRON","OTHER",3
"AMERICAN","NH6125A","OTHER",1
"AMERICAN","STAR","OTHER",1
"AMERICAN","TRAILER","OTHER",4
"AMERICAN","UT","OTHER",1
"AMERICAN","UTIL","OTHER",1
"AMERICAN","UTILITY","OTHER",2
"AMERICAN HAILER","UTILITY","OTHER",1
"AMERICAN IRON","TEXAS","OTHER",1
"AMERLITE","TRAVEL","OTHER",1
"AMO","AMERICAN","OTHER",1
"AMRERICAN IRON","LSC","OTHER",1
"AMST","TRAVEL","OTHER",1
"AMW","BOAT","OTHER",1
"ANDERSON","DUMP","OTHER",1
"ANDERSON","HGL7610","OTHER",1
"ANDERSON","T17166TC","OTHER",1
"ANDERSON","TANDEM","OTHER",1
"ANDERSON","TRAILER","OTHER",5
"ANDERSON","TRAILOR","OTHER",1
"ANDERSON","UTILITY","OTHER",1
"ANDY'S","BOAT","OTHER",1
"ANTHONYS DREAM RIDE","TEEN","OTHER",1
"ANVIL","TL","OTHER",1
"ANY","ANY","OTHER",2
"ANY VEHICLE","ANY","OTHER",1
"APACH","APACHE","OTHER",1
"APACHE","ENCLOSED","OTHER",1
"APARILA","DORSODURO","OTHER",1
"APAX","COACHMAN","OTHER",1
"APEX","COACHMAN","OTHER",1
"APPA","FLTRL","OTHER",1
"APPAL","TRAILER","OTHER",2
"APPALACHIAN","14'","OTHER",1
"ARCHER","TRAILER","OTHER",1
"ARCTIC","FOX","OTHER",2
"ARCTIC CAT","DVX150","OTHER",1
"ARCTIC CAT","WILDCAT","OTHER",1
"ARCTIC CAT","XF1100","OTHER",1
"ARCTIC FOX","TRAILER","OTHER",1
"ARIEL","ATOM","OTHER",1
"ARIS","DELUXE","OTHER",1
"ARIS","TRAILER","OTHER",1
"ARIS","TRLR","OTHER",1
"ARISING","BOX","OTHER",1
"ARISING","ENCLOSED","OTHER",2
"ARISING","INDUSTRIES","OTHER",1
"ARISING","TRL","OTHER",1
"ARISING IDUSTRIES","ENCLOSED","OTHER",1
"ARISING INDUSTRIES","CARGO","OTHER",1
"ARISING INDUSTRIES","ENCLOSED","OTHER",1
"ARISING INDUSTRIES","TRAILER","OTHER",1
"ARISING INDUSTRIES,","ENCLOSED","OTHER",1
"ARIZONA","CARHAULER","OTHER",1
"ARON","TRAVEL","OTHER",1
"ARPELIA","100","OTHER",1
"ARRO","MOTOR","OTHER",1
"ARROW","BOAT","OTHER",1
"ARROW","RV","OTHER",1
"ARSEN","LTRL","OTHER",1
"ARTIC","CAT","OTHER",1
"ARTIC CAT","PROWLER","OTHER",1
"ARTIC FOX","RV","OTHER",1
"ASCEND","ASCEND","OTHER",1
"ASM","TL","OTHER",1
"ASPEN","28'","OTHER",1
"ASPEN","CT","OTHER",2
"ASPEN","F3100","OTHER",1
"ASPEN","TRAIL","OTHER",1
"ASPEN","TRAILER","OTHER",1
"ASPEN","TRAVEL","OTHER",1
"ASPT","MC","OTHER",1
"ASSEMBLED","MK4","OTHER",1
"ASSSEMBLED","ROADSTER","OTHER",1
"ASTON_MARTIN","DB11","LUX SPORT",7
"ASTON_MARTIN","DB7","LUX SPORT",32
"ASTON_MARTIN","DB9","LUX SPORT",124
"ASTON_MARTIN","DBS","LUX SPORT",7
"ASTON_MARTIN","FOOD","LUX SPORT",1
"ASTON_MARTIN","LAGONDA","LUX SPORT",1
"ASTON_MARTIN","ONE-77","LUX SPORT",1
"ASTON_MARTIN","RAPIDE","LUX SPORT",34
"ASTON_MARTIN","TRAILER","LUX SPORT",1
"ASTON_MARTIN","V-8","LUX SPORT",1
"ASTON_MARTIN","V12","LUX SPORT",10
"ASTON_MARTIN","V8","LUX SPORT",165
"ASTON_MARTIN","VANQUISH","LUX SPORT",25
"ASTON_MARTIN","VIRAGE","LUX SPORT",7
"ASTRO","BASS","OTHER",1
"ATASKA","34FT","OTHER",1
"ATASKA","CAMBRIA","OTHER",1
"ATASKA","SONOMA","OTHER",1
"ATC","CAR","OTHER",1
"ATC","QUEST","OTHER",1
"ATC","RECREATIONAL","OTHER",1
"ATC","TRAILER","OTHER",2
"ATC","TRAILER2","OTHER",1
"ATI","AVENGER","OTHER",1
"ATITASKA","MARIDEAN","OTHER",1
"ATK","605","OTHER",1
"ATLAS","AA85247A3","OTHER",1
"ATLAS","TRAILER","OTHER",1
"ATLAS","UTILITY","OTHER",1
"ATLAS COPCO","AIR","OTHER",1
"ATLAS COPCO","XAS185","OTHER",1
"ATM","990","OTHER",1
"ATTITUDE","ECLIPSE","OTHER",1
"ATTITUDE","TOY","OTHER",1
"ATV","1","OTHER",1
"ATV","2","OTHER",1
"ATV","4","OTHER",1
"ATV","4X4","OTHER",2
"ATV","ATV","OTHER",12
"ATV","CUSTOM","OTHER",1
"ATV","JEEP","OTHER",2
"ATV","LOOSE","OTHER",2
"ATV","NICE","OTHER",1
"ATV","OFF","OTHER",2
"ATV","POLARIS","OTHER",1
"ATV","QUAD","OTHER",1
"ATV","RAPTOR","OTHER",1
"ATV","TRAILER","OTHER",7
"ATV","UTILITY","OTHER",2
"ATV","WHEELS","OTHER",1
"AU / RI","TRAILER","OTHER",1
"AUDI","100","MID",116
"AUDI","200","OTHER",34
"AUDI","4000","OTHER",40
"AUDI","5000","OTHER",31
"AUDI","80","COMPACT",16
"AUDI","90","COMPACT",128
"AUDI","A1","OTHER",3
"AUDI","A3","COMPACT",12975
"AUDI","A4","COMPACT",69270
"AUDI","A5","MID",9501
"AUDI","A6","MID",27773
"AUDI","A7","MID",3318
"AUDI","A8","LUX",4890
"AUDI","AG","OTHER",1
"AUDI","ALLROAD","MID",2540
"AUDI","BASE","OTHER",1
"AUDI","CABRIOLET","MID",160
"AUDI","COUPE","OTHER",40
"AUDI","PREMIUM","OTHER",2
"AUDI","Q","OTHER",1
"AUDI","Q3","SUV",2332
"AUDI","Q5","SUV",19626
"AUDI","Q7","SUV",13690
"AUDI","QUATTRO","OTHER",3
"AUDI","R8","LUX SPORT",199
"AUDI","RS3","OTHER",26
"AUDI","RS4","SPORT",171
"AUDI","RS5","SPORT",323
"AUDI","RS6","OTHER",94
"AUDI","RS7","SPORT",163
"AUDI","S","OTHER",1
"AUDI","S3","COMPACT",842
