"MAKE_NEW","NEW_MODEL","car_type","n"
"MERCURY","MOTORHOME","OTHER",1
"MERCURY","MOUNTAINEER","SUV",33354
"MERCURY","MYSTIQUE","COMPACT",2555
"MERCURY","SABLE","MID",37219
"MERCURY","SCORPIO","OTHER",1
"MERCURY","TOPAZ","OTHER",483
"MERCURY","TRACER","COMPACT",2273
"MERCURY","TRAILER","OTHER",1
"MERCURY","VILLAGER","VAN",7728
"MERCURY","XL38R","OTHER",1
"MERCURY","XLITE","OTHER",1
"MERCURY","ZEPHYR","OTHER",19
"MERHOW","10'","OTHER",1
"MERICRUISER","TRAILER","OTHER",1
"MERKUR","SCORPIO","OTHER",11
"MERKUR","XR4TI","OTHER",49
"MESSAGE BOARD","TRAILER","OTHER",1
"METAL","BOAT","OTHER",1
"METAL","TRAILER","OTHER",1
"METRO","MOPED","OTHER",1
"MG","B","OTHER",1
"MG","BT","OTHER",1
"MG","M998","OTHER",1
"MG","MGB","OTHER",60
"MG","UTILITY","OTHER",1
"MHOM","HOLIDAY","OTHER",1
"MI/AM","TRAILER","OTHER",1
"MI/AT","TRAILER","OTHER",1
"MICRO","BOAT","OTHER",1
"MICRO","LT/RL","OTHER",1
"MICRO","MICRO","OTHER",1
"MICROLITE","FLAGSTAFF","OTHER",1
"MID","ATLANTIC","OTHER",1
"MIDAMERICA","TRAILER","OTHER",1
"MIDAS","MOTORHOME","OTHER",1
"MIDAT","MIDAT","OTHER",1
"MIDAT","TRAILER","OTHER",1
"MIDATLANTIC","NONE","OTHER",1
"MIDATLANTIC","TRAILER","OTHER",1
"MIDSTATE","MUD","OTHER",1
"MIDWAY","TRAILER","OTHER",1
"MIDWEST","SR-V2046T","OTHER",1
"MIDWEST","TRAILER","OTHER",2
"MIDWEST","TRAILOR","OTHER",1
"MILAN","ECLIPSE","OTHER",1
"MILATARY","HUMVEE","OTHER",1
"MILEY","2","OTHER",1
"MILEY","TRAILER","OTHER",1
"MILLARD","FLEETWOOD","OTHER",1
"MILLENIUM","TRAILER","OTHER",1
"MILLENIUM","UNK","OTHER",1
"MILLER","21","OTHER",1
"MINI","1","COMPACT",1
"MINI","4DOOR","COMPACT",1
"MINI","AUSTIN","COMPACT",1
"MINI","CAMPER","COMPACT",1
"MINI","COOPER","COMPACT",76847
"MINI","COUNTRYMAN","COMPACT",1
"MINI","ESTATE","COMPACT",1
"MINI","HORSE","COMPACT",1
"MINI","MARK","COMPACT",1
"MINI","MINI","COMPACT",3
"MINI","MORRIS","COMPACT",1
"MINI","S","COMPACT",1
"MINI","TRAILER","COMPACT",1
"MINI","WINNIE","COMPACT",1
"MINNIE","M/H","OTHER",1
"MINNIE","WINNEBEGO","OTHER",1
"MINNIE","WINNIE","OTHER",1
"MIRA","TRAILER","OTHER",1
"MIRAGE","257","OTHER",1
"MIRAGE","GOOSNECK","OTHER",1
"MIRAGE","RV","OTHER",1
"MISC","BOAT","OTHER",1
"MISC","LABOR","OTHER",1
"MISC","MISC","OTHER",1
"MISC","TRAILER","OTHER",1
"MISC.","METAL","OTHER",1
"MISC.","SCOOTER","OTHER",1
"MISCELLANEOUS","UNKNOWN","OTHER",1
"MISSI","SNOWMOBILE","OTHER",1
"MISSION","""101""""X120""""""","OTHER",1
"MISSION","BBQ","OTHER",1
"MISSION","TANK","OTHER",1
"MITSUBISHI","3000GT","SPORT",2489
"MITSUBISHI","5500","OTHER",1
"MITSUBISHI","BOAT","OTHER",1
"MITSUBISHI","BOX","VAN",1
"MITSUBISHI","BOX","OTHER",30
"MITSUBISHI","BOXVAN","VAN",1
"MITSUBISHI","CAB","OTHER",3
"MITSUBISHI","CABOVER","OTHER",1
"MITSUBISHI","CODA","OTHER",1
"MITSUBISHI","COLT","OTHER",1
"MITSUBISHI","CONQUEST","OTHER",1
"MITSUBISHI","CORDIA","OTHER",1
"MITSUBISHI","CUTAWAY","OTHER",1
"MITSUBISHI","DELICA","OTHER",7
"MITSUBISHI","DIAMANTE","MID",3592
"MITSUBISHI","EAGLE","OTHER",1
"MITSUBISHI","ECLIPSE","SPORT",40477
"MITSUBISHI","ENDEAVOR","SUV",15086
"MITSUBISHI","EVO","OTHER",1
"MITSUBISHI","EXPO","VAN",153
"MITSUBISHI","FE","OTHER",3
"MITSUBISHI","FE/FG","OTHER",1
"MITSUBISHI","FE140","OTHER",1
"MITSUBISHI","FE649","OTHER",1
"MITSUBISHI","FEI","OTHER",1
"MITSUBISHI","FESP","OTHER",1
"MITSUBISHI","FG","OTHER",1
"MITSUBISHI","FH","OTHER",1
"MITSUBISHI","FISO","OTHER",1
"MITSUBISHI","FLAT","OTHER",3
"MITSUBISHI","FLATBED","OTHER",1
"MITSUBISHI","FLATT","OTHER",1
"MITSUBISHI","FUJO","OTHER",2
"MITSUBISHI","FUSCO","OTHER",1
"MITSUBISHI","FUSO","TRUCK",145
"MITSUBISHI","FUSSO","OTHER",1
"MITSUBISHI","FUSU","OTHER",1
"MITSUBISHI","FUZO","OTHER",3
"MITSUBISHI","FUZU","OTHER",1
"MITSUBISHI","FUZZO","OTHER",1
"MITSUBISHI","GALANT","COMPACT",49767
"MITSUBISHI","I-MIEV","COMPACT",120
"MITSUBISHI","ISUZU","OTHER",1
"MITSUBISHI","J53","OTHER",1
"MITSUBISHI","JEEP","OTHER",1
"MITSUBISHI","L200","OTHER",1
"MITSUBISHI","L300","OTHER",1
"MITSUBISHI","LANCER","COMPACT",52583
"MITSUBISHI","LANDCROSS","OTHER",1
"MITSUBISHI","LANDSCAPE","OTHER",1
"MITSUBISHI","MIGHTY","TRUCK",880
"MITSUBISHI","MINI","OTHER",1
"MITSUBISHI","MIRAGE","COMPACT",13927
"MITSUBISHI","MONT","OTHER",1
"MITSUBISHI","MONTERO","SUV",18634
"MITSUBISHI","NPR","OTHER",4
"MITSUBISHI","OUTLANDER","SUV",46789
"MITSUBISHI","PAJERO","OTHER",2
"MITSUBISHI","PICKUP","OTHER",12
"MITSUBISHI","PRECIS","OTHER",5
"MITSUBISHI","RAIDER","TRUCK",2612
"MITSUBISHI","RIDGE","OTHER",1
"MITSUBISHI","RVR","OTHER",2
"MITSUBISHI","S140","OTHER",1
"MITSUBISHI","SIGMA","OTHER",3
"MITSUBISHI","STARION","OTHER",30
"MITSUBISHI","STERLING","OTHER",1
"MITSUBISHI","STRADA","OTHER",1
"MITSUBISHI","TRAILER","OTHER",3
"MITSUBISHI","TREDIA","OTHER",1
"MITSUBISHI","USO","OTHER",2
"MITSUBISHI","VAN","VAN",26
"MIXER","CEMENT","OTHER",1
"MIXER","MIXER","OTHER",3
"MOBIL","HOME","OTHER",1
"MOBIL","SCOUT","OTHER",1
"MOBIL SCOUT","TRAILER","OTHER",1
"MOBILITY","VENTURE","OTHER",1
"MOBILITY VENTURES","BIG","OTHER",1
"MOBILITY VENTURES","MV-1","OTHER",65
"MOBILITY VENTURES","MV1","OTHER",1
"MOBT","CT","OTHER",1
"MODE","TRAILER","OTHER",1
"MODERN","TRAILER","OTHER",1
"MOGU","NORGE","OTHER",1
"MOMENTUM","38","OTHER",1
"MOMENTUM","TRAILER","OTHER",1
"MONAC","CAYMON","OTHER",1
"MONAC","DYNASTY","OTHER",1
"MONACO","CAYMAN","OTHER",1
"MONACO","CAYMEN","OTHER",1
"MONACO","DIPLOMAT","OTHER",3
"MONACO","DYDIAM400","OTHER",1
"MONACO","DYNASTY","OTHER",5
"MONACO","EXECUTIVE","OTHER",1
"MONACO","KNIGHT","OTHER",1
"MONACO","LA","OTHER",1
"MONACO","MOTOR","OTHER",1
"MONACO","MOTORHOME","OTHER",1
"MONACO","WINDSOR","OTHER",1
"MONG","DP","OTHER",1
"MONG","TRAILER","OTHER",1
"MONIC","KNIGHT","OTHER",1
"MONICO","COACH","OTHER",1
"MONICO","DIPLOMAT","OTHER",1
"MONICO","MONARCH","OTHER",1
"MONICO","MONICO","OTHER",1
"MONICO","MOTORHOME","OTHER",1
"MONOCO","7","OTHER",1
"MONOCO","DIPLOMAT","OTHER",2
"MONOCO","KNIGHT","OTHER",1
"MONOCO","SIGNATURE","OTHER",1
"MONT","TRAVEL","OTHER",1
"MONTANA","34","OTHER",2
"MONTANA","3402RL","OTHER",1
"MONTANA","3811","OTHER",1
"MONTANA","5TH","OTHER",2
"MONTANA","CAMP","OTHER",1
"MONTANA","FLEET","OTHER",1
"MONTANA","HIGH","OTHER",1
"MONTANA","KEYSTONE","OTHER",2
"MONTANA","KINGSTONE","OTHER",1
"MONTANA","LP3100","OTHER",1
"MONTANA","MONTANA","OTHER",1
"MONTANA","MOUNTAINEER","OTHER",3
"MONTANA","TRAILER","OTHER",2
"MONTANA","TWO","OTHER",1
"MONTANNA","3575","OTHER",1
"MONTANNA","TRAILER","OTHER",1
"MONTE CARLO","TRAVEL","OTHER",1
"MONTE VISTA","TRAVEL","OTHER",1
"MONTEGO","RV","OTHER",1
"MONTEREY","BOAT","OTHER",1
"MONTERY","190","OTHER",1
"MONTROSE","TRAILER","OTHER",1
"MOOMBA","OUTBACK","OTHER",2
"MOPAR","REGGIE","OTHER",1
"MORGA","AERO","OTHER",1
"MORGAN","4/4","LUX SPORT",2
"MORGAN","AERO","LUX SPORT",18
"MORGAN","PLUEIG","LUX SPORT",1
"MORGAN","PLUS","LUX SPORT",16
"MORGAN","ROADSTER","LUX SPORT",1
"MORGAN OLSON","UPS","OTHER",1
"MORIT","TRAILER","OTHER",1
"MORRIS","MINI","OTHER",1
"MOTORCYCLE","-DAVIDSON","MOTORCYCLE",1
"MOTORCYCLE",".","MOTORCYCLE",5
"MOTORCYCLE","0","MOTORCYCLE",1
"MOTORCYCLE","1","MOTORCYCLE",3
"MOTORCYCLE","1000","MOTORCYCLE",4
"MOTORCYCLE","1000LT","MOTORCYCLE",1
"MOTORCYCLE","1100","MOTORCYCLE",2
"MOTORCYCLE","1100CC","MOTORCYCLE",1
"MOTORCYCLE","1125","MOTORCYCLE",2
"MOTORCYCLE","1125CR","MOTORCYCLE",1
"MOTORCYCLE","1125R","MOTORCYCLE",3
"MOTORCYCLE","12","MOTORCYCLE",1
"MOTORCYCLE","1200","MOTORCYCLE",43
"MOTORCYCLE","12000","MOTORCYCLE",1
"MOTORCYCLE","1200C","MOTORCYCLE",2
"MOTORCYCLE","1200CC","MOTORCYCLE",3
"MOTORCYCLE","1200L","MOTORCYCLE",2
"MOTORCYCLE","1200T","MOTORCYCLE",1
"MOTORCYCLE","1200XL","MOTORCYCLE",2
"MOTORCYCLE","1200XLC","MOTORCYCLE",1
"MOTORCYCLE","125","MOTORCYCLE",2
"MOTORCYCLE","1300","MOTORCYCLE",8
"MOTORCYCLE","1350CC","MOTORCYCLE",1
"MOTORCYCLE","1400","MOTORCYCLE",2
"MOTORCYCLE","150","MOTORCYCLE",2
"MOTORCYCLE","1500","MOTORCYCLE",8
"MOTORCYCLE","150LXIE","MOTORCYCLE",1
"MOTORCYCLE","1550CC","MOTORCYCLE",1
"MOTORCYCLE","1600","MOTORCYCLE",5
"MOTORCYCLE","1600CC","MOTORCYCLE",1
"MOTORCYCLE","1700","MOTORCYCLE",3
"MOTORCYCLE","1800CC","MOTORCYCLE",1
"MOTORCYCLE","1883","MOTORCYCLE",1
"MOTORCYCLE","2007","MOTORCYCLE",1
"MOTORCYCLE","200L","MOTORCYCLE",3
"MOTORCYCLE","201","MOTORCYCLE",1
"MOTORCYCLE","2017","MOTORCYCLE",1
"MOTORCYCLE","203","MOTORCYCLE",1
"MOTORCYCLE","20C","MOTORCYCLE",1
"MOTORCYCLE","212X","MOTORCYCLE",1
"MOTORCYCLE","225","MOTORCYCLE",1
"MOTORCYCLE","230","MOTORCYCLE",1
"MOTORCYCLE","2354","MOTORCYCLE",1
"MOTORCYCLE","250","MOTORCYCLE",7
"MOTORCYCLE","2504","MOTORCYCLE",1
"MOTORCYCLE","2X2","MOTORCYCLE",1
"MOTORCYCLE","2X6R","MOTORCYCLE",1
"MOTORCYCLE","300","MOTORCYCLE",12
"MOTORCYCLE","3000","MOTORCYCLE",1
"MOTORCYCLE","4","MOTORCYCLE",1
"MOTORCYCLE","400","MOTORCYCLE",2
"MOTORCYCLE","454LTD","MOTORCYCLE",1
"MOTORCYCLE","48","MOTORCYCLE",9
"MOTORCYCLE","500","MOTORCYCLE",2
"MOTORCYCLE","600","MOTORCYCLE",5
"MOTORCYCLE","600CC","MOTORCYCLE",1
"MOTORCYCLE","600ZZR","MOTORCYCLE",1
"MOTORCYCLE","63374715002","MOTORCYCLE",1
"MOTORCYCLE","636","MOTORCYCLE",2
"MOTORCYCLE","636R","MOTORCYCLE",1
"MOTORCYCLE","650","MOTORCYCLE",28
"MOTORCYCLE","650R","MOTORCYCLE",5
"MOTORCYCLE","660","MOTORCYCLE",1
"MOTORCYCLE","700CC","MOTORCYCLE",1
"MOTORCYCLE","72","MOTORCYCLE",2
"MOTORCYCLE","750","MOTORCYCLE",12
"MOTORCYCLE","7X-11","MOTORCYCLE",1
"MOTORCYCLE","800","MOTORCYCLE",1
"MOTORCYCLE","83","MOTORCYCLE",1
"MOTORCYCLE","850","MOTORCYCLE",2
"MOTORCYCLE","883","MOTORCYCLE",44
"MOTORCYCLE","883N","MOTORCYCLE",1
"MOTORCYCLE","883XL","MOTORCYCLE",3
"MOTORCYCLE","900","MOTORCYCLE",9
"MOTORCYCLE","900B","MOTORCYCLE",1
"MOTORCYCLE","950","MOTORCYCLE",6
"MOTORCYCLE","99","MOTORCYCLE",1
"MOTORCYCLE","A","MOTORCYCLE",1
"MOTORCYCLE","A83","MOTORCYCLE",1
"MOTORCYCLE","ANNIVERSARY","MOTORCYCLE",1
"MOTORCYCLE","APRILIA","MOTORCYCLE",1
"MOTORCYCLE","AR","MOTORCYCLE",1
"MOTORCYCLE","AR210","MOTORCYCLE",1
"MOTORCYCLE","AR230","MOTORCYCLE",1
"MOTORCYCLE","ASCEND","MOTORCYCLE",1
"MOTORCYCLE","ATLANTIC","MOTORCYCLE",2
"MOTORCYCLE","AUDACE","MOTORCYCLE",1
"MOTORCYCLE","AZUMA","MOTORCYCLE",1
"MOTORCYCLE","B","MOTORCYCLE",1
"MOTORCYCLE","BAGGER","MOTORCYCLE",1
"MOTORCYCLE","BAYOU","MOTORCYCLE",2
"MOTORCYCLE","BIG","MOTORCYCLE",3
"MOTORCYCLE","BIKE","MOTORCYCLE",23
"MOTORCYCLE","BLACK","MOTORCYCLE",1
"MOTORCYCLE","BLACKLINE","MOTORCYCLE",2
"MOTORCYCLE","BLAST","MOTORCYCLE",9
"MOTORCYCLE","BN125","MOTORCYCLE",1
"MOTORCYCLE","BN125A","MOTORCYCLE",2
"MOTORCYCLE","BOAT","MOTORCYCLE",2
"MOTORCYCLE","BOB","MOTORCYCLE",1
"MOTORCYCLE","BOLT","MOTORCYCLE",19
"MOTORCYCLE","BRAKEOUT","MOTORCYCLE",1
"MOTORCYCLE","BREAKOUT","MOTORCYCLE",13
"MOTORCYCLE","BREVA","MOTORCYCLE",1
"MOTORCYCLE","BREVVA","MOTORCYCLE",1
"MOTORCYCLE","BRICKLAND","MOTORCYCLE",1
"MOTORCYCLE","BRUIN","MOTORCYCLE",1
"MOTORCYCLE","BUELL","MOTORCYCLE",2
"MOTORCYCLE","BV25","MOTORCYCLE",1
"MOTORCYCLE","C3","MOTORCYCLE",1
"MOTORCYCLE","CALIFORNIA","MOTORCYCLE",1
"MOTORCYCLE","CCR","MOTORCYCLE",1
"MOTORCYCLE","CDL","MOTORCYCLE",1
"MOTORCYCLE","CL1200","MOTORCYCLE",1
"MOTORCYCLE","CLASSIC","MOTORCYCLE",10
"MOTORCYCLE","CLHXS","MOTORCYCLE",1
"MOTORCYCLE","CONCOURS","MOTORCYCLE",13
"MOTORCYCLE","CONCOURSE","MOTORCYCLE",6
"MOTORCYCLE","CONVERION","MOTORCYCLE",1
"MOTORCYCLE","CROSS","MOTORCYCLE",1
"MOTORCYCLE","CROSSBONES","MOTORCYCLE",2
"MOTORCYCLE","CRUISER","MOTORCYCLE",1
"MOTORCYCLE","CUSTOM","MOTORCYCLE",21
"MOTORCYCLE","CUSTOME","MOTORCYCLE",1
"MOTORCYCLE","CUSTOMER","MOTORCYCLE",1
"MOTORCYCLE","CVO","MOTORCYCLE",7
"MOTORCYCLE","CW50","MOTORCYCLE",1
"MOTORCYCLE","CYCLE","MOTORCYCLE",5
"MOTORCYCLE","CYCLONE","MOTORCYCLE",1
"MOTORCYCLE","CYL","MOTORCYCLE",1
"MOTORCYCLE","CZ","MOTORCYCLE",1
"MOTORCYCLE","D","MOTORCYCLE",4
"MOTORCYCLE","DAINA","MOTORCYCLE",1
"MOTORCYCLE","DASVIDSON","MOTORCYCLE",1
"MOTORCYCLE","DAV","MOTORCYCLE",24
"MOTORCYCLE","DAVDISON","MOTORCYCLE",1
"MOTORCYCLE","DAVID","MOTORCYCLE",2
"MOTORCYCLE","DAVIDASON","MOTORCYCLE",1
"MOTORCYCLE","DAVIDON","MOTORCYCLE",1
"MOTORCYCLE","DAVIDS","MOTORCYCLE",1
"MOTORCYCLE","DAVIDSON","MOTORCYCLE",608
"MOTORCYCLE","DAVIS","MOTORCYCLE",1
"MOTORCYCLE","DAVISDON","MOTORCYCLE",1
"MOTORCYCLE","DAVISDSON","MOTORCYCLE",1
"MOTORCYCLE","DAVISION","MOTORCYCLE",1
"MOTORCYCLE","DAVISON","MOTORCYCLE",25
"MOTORCYCLE","DAYNA","MOTORCYCLE",3
"MOTORCYCLE","DELE","MOTORCYCLE",1
"MOTORCYCLE","DELEUXE","MOTORCYCLE",1
"MOTORCYCLE","DELUX","MOTORCYCLE",3
"MOTORCYCLE","DELUXE","MOTORCYCLE",7
"MOTORCYCLE","DEUCE","MOTORCYCLE",2
"MOTORCYCLE","DIMANOND","MOTORCYCLE",1
"MOTORCYCLE","DINA","MOTORCYCLE",5
"MOTORCYCLE","DINAGLIDE","MOTORCYCLE",2
"MOTORCYCLE","DINO","MOTORCYCLE",2
"MOTORCYCLE","DINOGLIDE","MOTORCYCLE",1
"MOTORCYCLE","DINOWHITE","MOTORCYCLE",1
"MOTORCYCLE","DLX50","MOTORCYCLE",1
"MOTORCYCLE","DRIFTER","MOTORCYCLE",2
"MOTORCYCLE","DUAL","MOTORCYCLE",1
"MOTORCYCLE","DUEC","MOTORCYCLE",1
"MOTORCYCLE","DUECE","MOTORCYCLE",1
"MOTORCYCLE","DUNAGLIDE","MOTORCYCLE",1
"MOTORCYCLE","DUSCE","MOTORCYCLE",1
"MOTORCYCLE","DVDSN","MOTORCYCLE",8
"MOTORCYCLE","DYAN","MOTORCYCLE",1
"MOTORCYCLE","DYNA","MOTORCYCLE",104
"MOTORCYCLE","DYNAGLIDE","MOTORCYCLE",3
"MOTORCYCLE","DYNAMIC","MOTORCYCLE",1
"MOTORCYCLE","DYNO","MOTORCYCLE",4
"MOTORCYCLE","DYNOGLIDE","MOTORCYCLE",1
"MOTORCYCLE","E-RIDE","MOTORCYCLE",1
"MOTORCYCLE","ELCTGLD","MOTORCYCLE",1
"MOTORCYCLE","ELCTRA","MOTORCYCLE",1
"MOTORCYCLE","ELCTRAGLIDE","MOTORCYCLE",1
"MOTORCYCLE","ELEC","MOTORCYCLE",3
"MOTORCYCLE","ELECRA","MOTORCYCLE",1
"MOTORCYCLE","ELECRTA","MOTORCYCLE",1
"MOTORCYCLE","ELECRTOGLIDE","MOTORCYCLE",1
"MOTORCYCLE","ELECT","MOTORCYCLE",1
"MOTORCYCLE","ELECTIR","MOTORCYCLE",1
"MOTORCYCLE","ELECTOGLIDE","MOTORCYCLE",1
"MOTORCYCLE","ELECTRA","MOTORCYCLE",40
"MOTORCYCLE","ELECTRA-GLIDE","MOTORCYCLE",2
"MOTORCYCLE","ELECTRAGLIDE","MOTORCYCLE",9
"MOTORCYCLE","ELECTRAGLYDE","MOTORCYCLE",1
"MOTORCYCLE","ELECTREC","MOTORCYCLE",1
"MOTORCYCLE","ELECTRI","MOTORCYCLE",1
"MOTORCYCLE","ELECTRIC","MOTORCYCLE",17
"MOTORCYCLE","ELECTRICGLIDE","MOTORCYCLE",1
"MOTORCYCLE","ELECTRO","MOTORCYCLE",5
"MOTORCYCLE","ELECTROGLIDE","MOTORCYCLE",4
"MOTORCYCLE","ELECTROGLYDE","MOTORCYCLE",1
"MOTORCYCLE","ELETRIC","MOTORCYCLE",1
"MOTORCYCLE","EN500","MOTORCYCLE",3
"MOTORCYCLE","EN500-C","MOTORCYCLE",1
"MOTORCYCLE","EN500C","MOTORCYCLE",2
"MOTORCYCLE","EN650","MOTORCYCLE",2
"MOTORCYCLE","ER","MOTORCYCLE",1
"MOTORCYCLE","ER-6N","MOTORCYCLE",1
"MOTORCYCLE","ER650","MOTORCYCLE",3
"MOTORCYCLE","ER6N","MOTORCYCLE",2
"MOTORCYCLE","ERN650","MOTORCYCLE",1
"MOTORCYCLE","ES250","MOTORCYCLE",1
"MOTORCYCLE","ET","MOTORCYCLE",1
"MOTORCYCLE","ET2","MOTORCYCLE",2
"MOTORCYCLE","ET4","MOTORCYCLE",3
"MOTORCYCLE","EVER","MOTORCYCLE",1
"MOTORCYCLE","EVER-LITE","MOTORCYCLE",1
"MOTORCYCLE","EX","MOTORCYCLE",7
"MOTORCYCLE","EX250","MOTORCYCLE",20
"MOTORCYCLE","EX250-F","MOTORCYCLE",3
"MOTORCYCLE","EX250-J","MOTORCYCLE",1
"MOTORCYCLE","EX250F","MOTORCYCLE",4
"MOTORCYCLE","EX250J","MOTORCYCLE",3
"MOTORCYCLE","EX250JF","MOTORCYCLE",1
"MOTORCYCLE","EX300","MOTORCYCLE",6
"MOTORCYCLE","EX300-B","MOTORCYCLE",1
"MOTORCYCLE","EX330-A","MOTORCYCLE",1
"MOTORCYCLE","EX500","MOTORCYCLE",3
"MOTORCYCLE","EX650","MOTORCYCLE",13
"MOTORCYCLE","EX650-E","MOTORCYCLE",1
"MOTORCYCLE","EX650A","MOTORCYCLE",4
"MOTORCYCLE","EX650AF","MOTORCYCLE",1
"MOTORCYCLE","EX650E","MOTORCYCLE",1
"MOTORCYCLE","EX650F","MOTORCYCLE",3
"MOTORCYCLE","EXE","MOTORCYCLE",1
"MOTORCYCLE","F26R","MOTORCYCLE",1
"MOTORCYCLE","FALKEN","MOTORCYCLE",2
"MOTORCYCLE","FASTS","MOTORCYCLE",1
"MOTORCYCLE","FAT","MOTORCYCLE",76
"MOTORCYCLE","FATBOB","MOTORCYCLE",8
"MOTORCYCLE","FATBOTTOM","MOTORCYCLE",1
"MOTORCYCLE","FATBOY","MOTORCYCLE",84
"MOTORCYCLE","FATBOYS","MOTORCYCLE",1
"MOTORCYCLE","FC","MOTORCYCLE",2
"MOTORCYCLE","FC1","MOTORCYCLE",2
"MOTORCYCLE","FC6R","MOTORCYCLE",1
"MOTORCYCLE","FCDBI","MOTORCYCLE",1
"MOTORCYCLE","FCI","MOTORCYCLE",1
"MOTORCYCLE","FDL","MOTORCYCLE",1
"MOTORCYCLE","FDXB","MOTORCYCLE",1
"MOTORCYCLE","FHX","MOTORCYCLE",1
"MOTORCYCLE","FIHTCU","MOTORCYCLE",1
"MOTORCYCLE","FIHTCUI","MOTORCYCLE",1
"MOTORCYCLE","FIREBOLT","MOTORCYCLE",4
"MOTORCYCLE","FISTSI","MOTORCYCLE",1
"MOTORCYCLE","FJ","MOTORCYCLE",2
"MOTORCYCLE","FJ-09","MOTORCYCLE",1
"MOTORCYCLE","FJ11","MOTORCYCLE",1
"MOTORCYCLE","FJ1200","MOTORCYCLE",2
"MOTORCYCLE","FJR","MOTORCYCLE",15
"MOTORCYCLE","FJR1300","MOTORCYCLE",10
"MOTORCYCLE","FJR1300A","MOTORCYCLE",2
"MOTORCYCLE","FKTRX","MOTORCYCLE",1
"MOTORCYCLE","FL","MOTORCYCLE",1
"MOTORCYCLE","FLAGLIGHT","MOTORCYCLE",1
"MOTORCYCLE","FLAGSTAFF","MOTORCYCLE",1
"MOTORCYCLE","FLAT","MOTORCYCLE",2
"MOTORCYCLE","FLD","MOTORCYCLE",12
"MOTORCYCLE","FLD103","MOTORCYCLE",1
"MOTORCYCLE","FLF","MOTORCYCLE",1
"MOTORCYCLE","FLGTCUTG","MOTORCYCLE",1
"MOTORCYCLE","FLH","MOTORCYCLE",10
"MOTORCYCLE","FLHA103","MOTORCYCLE",1
"MOTORCYCLE","FLHCS","MOTORCYCLE",1
"MOTORCYCLE","FLHCU","MOTORCYCLE",1
"MOTORCYCLE","FLHP","MOTORCYCLE",1
"MOTORCYCLE","FLHPI","MOTORCYCLE",5
"MOTORCYCLE","FLHR","MOTORCYCLE",30
"MOTORCYCLE","FLHRC","MOTORCYCLE",17
"MOTORCYCLE","FLHRC1","MOTORCYCLE",1
"MOTORCYCLE","FLHRCI","MOTORCYCLE",24
"MOTORCYCLE","FLHRI","MOTORCYCLE",14
"MOTORCYCLE","FLHRRD","MOTORCYCLE",1
"MOTORCYCLE","FLHRSE","MOTORCYCLE",3
"MOTORCYCLE","FLHRSE12","MOTORCYCLE",1
"MOTORCYCLE","FLHRSE5","MOTORCYCLE",1
"MOTORCYCLE","FLHRSE5CVO","MOTORCYCLE",1
"MOTORCYCLE","FLHRSI","MOTORCYCLE",3
"MOTORCYCLE","FLHRSIRD","MOTORCYCLE",1
"MOTORCYCLE","FLHS","MOTORCYCLE",4
"MOTORCYCLE","FLHSSE","MOTORCYCLE",1
"MOTORCYCLE","FLHSX","MOTORCYCLE",1
"MOTORCYCLE","FLHSXE","MOTORCYCLE",1
"MOTORCYCLE","FLHT","MOTORCYCLE",33
"MOTORCYCLE","FLHTC","MOTORCYCLE",29
"MOTORCYCLE","FLHTCI","MOTORCYCLE",7
"MOTORCYCLE","FLHTCTG","MOTORCYCLE",1
"MOTORCYCLE","FLHTCU","MOTORCYCLE",34
"MOTORCYCLE","FLHTCUELG","MOTORCYCLE",1
"MOTORCYCLE","FLHTCUI","MOTORCYCLE",33
"MOTORCYCLE","FLHTCUSE","MOTORCYCLE",1
"MOTORCYCLE","FLHTCUSE5","MOTORCYCLE",1
"MOTORCYCLE","FLHTCUSE7","MOTORCYCLE",1
"MOTORCYCLE","FLHTCUTG","MOTORCYCLE",14
"MOTORCYCLE","FLHTCUTK","MOTORCYCLE",1
"MOTORCYCLE","FLHTCY","MOTORCYCLE",1
"MOTORCYCLE","FLHTG","MOTORCYCLE",1
"MOTORCYCLE","FLHTI","MOTORCYCLE",4
"MOTORCYCLE","FLHTK","MOTORCYCLE",45
"MOTORCYCLE","FLHTKELGL","MOTORCYCLE",1
"MOTORCYCLE","FLHTKL","MOTORCYCLE",2
"MOTORCYCLE","FLHTKSE","MOTORCYCLE",4
"MOTORCYCLE","FLHTP","MOTORCYCLE",4
"MOTORCYCLE","FLHTPI","MOTORCYCLE",3
"MOTORCYCLE","FLHTSU","MOTORCYCLE",1
"MOTORCYCLE","FLHTTC","MOTORCYCLE",1
"MOTORCYCLE","FLHTZ","MOTORCYCLE",1
"MOTORCYCLE","FLHX","MOTORCYCLE",87
"MOTORCYCLE","FLHX1","MOTORCYCLE",2
"MOTORCYCLE","FLHXA","MOTORCYCLE",1
"MOTORCYCLE","FLHXD","MOTORCYCLE",1
"MOTORCYCLE","FLHXI","MOTORCYCLE",2
"MOTORCYCLE","FLHXS","MOTORCYCLE",33
"MOTORCYCLE","FLHXSE","MOTORCYCLE",3
"MOTORCYCLE","FLHXSE3","MOTORCYCLE",5
"MOTORCYCLE","FLHXSSECVO","MOTORCYCLE",1
"MOTORCYCLE","FLHXST","MOTORCYCLE",2
"MOTORCYCLE","FLHXST103","MOTORCYCLE",5
"MOTORCYCLE","FLHXXX","MOTORCYCLE",3
"MOTORCYCLE","FLIGHTCUSE","MOTORCYCLE",1
